,timeDerrotado
616,"[18, 15, 35, 58, 97]"
617,"[53, 39, 89, 73, 104]"
618,"[106, 25, 38, 39, 46]"
619,"[21, 6, 29, 39, 75]"
620,"[40, 46, 1, 75, 90]"
621,"[59, 25, 69, 54, 19]"
622,"[88, 45, 67, 36, 19]"
623,"[46, 19, 84, 42, 85]"
624,"[102, 25, 66, 36, 2]"
625,"[36, 30, 42, 39, 44]"
626,"[102, 25, 104, 1, 26]"
627,"[2, 64, 25, 56, 8]"
628,"[68, 71, 36, 39, 100]"
629,"[105, 51, 1, 14, 25]"
630,"[54, 74, 68, 25, 20]"
631,"[104, 106, 14, 21, 68]"
632,"[29, 50, 81, 21, 31]"
633,"[16, 2, 11, 44, 86]"
634,"[11, 69, 5, 62, 15]"
635,"[37, 32, 39, 21, 59]"
636,"[49, 34, 54, 14, 71]"
637,"[112, 87, 107, 59, 11]"
638,"[104, 50, 93, 46, 4]"
639,"[97, 28, 74, 6, 39]"
640,"[1, 71, 2, 100, 46]"
641,"[68, 42, 28, 91, 39]"
642,"[4, 33, 19, 101, 52]"
643,"[106, 32, 85, 105, 35]"
644,"[99, 81, 104, 7, 6]"
645,"[11, 16, 27, 13, 76]"
646,"[32, 20, 39, 109, 28]"
647,"[96, 102, 11, 67, 4]"
648,"[6, 48, 35, 11, 27]"
649,"[43, 6, 28, 21, 34]"
650,"[2, 39, 73, 33, 23]"
651,"[67, 87, 59, 30, 85]"
652,"[67, 22, 68, 7, 74]"
653,"[31, 38, 44, 91, 36]"
654,"[21, 30, 112, 74, 73]"
655,"[39, 112, 2, 63, 25]"
656,"[102, 7, 39, 11, 61]"
657,"[25, 5, 94, 50, 99]"
658,"[21, 14, 49, 48, 93]"
659,"[34, 86, 1, 97, 83]"
660,"[26, 12, 105, 48, 74]"
661,"[15, 33, 11, 102, 69]"
662,"[112, 19, 21, 88, 8]"
663,"[106, 109, 107, 86, 31]"
664,"[16, 56, 106, 2, 73]"
665,"[41, 68, 23, 25, 62]"
666,"[49, 15, 86, 1, 53]"
667,"[28, 80, 14, 21, 79]"
668,"[112, 54, 26, 25, 52]"
669,"[51, 46, 86, 106, 62]"
670,"[104, 45, 11, 65, 73]"
671,"[3, 62, 9, 93, 39]"
672,"[104, 52, 73, 89, 9]"
673,"[59, 44, 86, 106, 58]"
674,"[59, 74, 96, 44, 21]"
675,"[42, 25, 2, 49, 50]"
676,"[82, 9, 28, 45, 2]"
677,"[75, 42, 39, 50, 33]"
678,"[57, 18, 11, 107, 74]"
679,"[25, 21, 50, 14, 62]"
680,"[74, 57, 67, 1, 21]"
681,"[32, 33, 51, 47, 44]"
682,"[74, 11, 93, 86, 60]"
